#OTU ID	CK	JXBR16	RW37	R37J16	taxonomy
SH494953.07FU_KP735242_reps_singleton	4	2	1	3	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Trichosporon; s__
SH496950.07FU_JX339752_reps_singleton	1	0	15	2	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Leotiomycetes_ord_Incertae_sedis; f__Myxotrichaceae; g__Pseudogymnoascus; s__Pseudogymnoascus_roseus
SH001463.07FU_AF444401_reps	0	0	1	0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellales_fam_Incertae_sedis; g__Fellomyces; s__Fellomyces_fuzhouensis
SH027149.07FU_HQ655816_reps_singleton	62	73	16	43	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
SH002391.07FU_AB731590_reps	1	0	3	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__; s__
SH032787.07FU_JN021022_reps	0	53	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma; s__Entoloma_nitens
SH490579.07FU_KU580126_reps	12	1	4	6	k__Fungi; p__; c__; o__; f__; g__; s__
SH489381.07FU_KJ443263_reps_singleton	0	0	0	1	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__; s__
SH025735.07FU_GU055674_reps_singleton	0	0	0	1	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__; g__; s__
SH026336.07FU_KF689649_reps	7	3	3	4	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Magnaporthales; f__Magnaporthaceae; g__Pseudophialophora; s__Pseudophialophora_magnispora
SH021525.07FU_GU180632_reps	4	1	0	1	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Acrostalagmus; s__Acrostalagmus_luteoalbus
SH014037.07FU_EU553283_reps	2	0	3	13	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
SH019199.07FU_EU516979_reps_singleton	36	36	48	46	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__; g__; s__
SH028845.07FU_EU142884_reps	49	42	10	12	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__
SH008472.07FU_FJ612975_reps_singleton	4	3	7	2	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Xylariaceae; g__Hypoxylon; s__Hypoxylon_investiens
SH484503.07FU_KF472157_reps_singleton	35	50	1	6	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreomycetidae_ord_Incertae_sedis; f__Plectosphaerellaceae; g__Verticillium; s__Verticillium_leptobactrum
SH487830.07FU_KT224874_reps_singleton	0	0	1	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Xylariaceae; g__Rosellinia; s__
SH025171.07FU_AB220251_refs	12	15	18	16	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetidae_ord_Incertae_sedis; f__Apiosporaceae; g__Arthrinium; s__Arthrinium_aureum
SH006229.07FU_HQ630346_refs	4	1	4	6	k__Fungi; p__Zygomycota; c__Mortierellomycotina_cls_Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_amoeboidea
SH008134.07FU_JQ936163_reps_singleton	0	0	0	6	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Didymella; s__Didymella_glomerata
